DATE,Consumer_Price_Index,Real_Disposable_Income
8/1/1966,32.65,3277.2
9/1/1966,32.75,3296.6
10/1/1966,32.85,3307.3
11/1/1966,32.88,3322.5
12/1/1966,32.92,3319.6
1/1/1967,32.9,3353.7
2/1/1967,33,3360.2
3/1/1967,33,3385.5
4/1/1967,33.1,3384.5
5/1/1967,33.1,3391.3
6/1/1967,33.3,3403.8
7/1/1967,33.4,3417.4
8/1/1967,33.5,3429.7
9/1/1967,33.6,3429.3
10/1/1967,33.7,3434.5
11/1/1967,33.9,3455.3
12/1/1967,34,3461.6
1/1/1968,34.1,3480.2
2/1/1968,34.2,3505.4
3/1/1968,34.3,3538.4
4/1/1968,34.4,3550.7
5/1/1968,34.5,3565.2
6/1/1968,34.7,3581.3
7/1/1968,34.9,3573.9
8/1/1968,35,3578.5
9/1/1968,35.1,3578.9
10/1/1968,35.3,3591.7
11/1/1968,35.4,3605.1
12/1/1968,35.6,3617.6
1/1/1969,35.7,3611
2/1/1969,35.8,3611.8
3/1/1969,36.1,3618.3
4/1/1969,36.3,3613
5/1/1969,36.4,3654.1
6/1/1969,36.6,3679.9
7/1/1969,36.8,3705.6
8/1/1969,36.9,3728.3
9/1/1969,37.1,3736.6
10/1/1969,37.3,3745.4
11/1/1969,37.5,3751.9
12/1/1969,37.7,3758.6
1/1/1970,37.9,3778.6
2/1/1970,38.1,3790.5
3/1/1970,38.3,3805
4/1/1970,38.5,3846
5/1/1970,38.6,3830.3
6/1/1970,38.8,3838.2
7/1/1970,38.9,3892.6
8/1/1970,39,3905.1
9/1/1970,39.2,3900.8
10/1/1970,39.4,3888.1
11/1/1970,39.6,3882.3
12/1/1970,39.8,3900
1/1/1971,39.9,3959.8
2/1/1971,39.9,3965.2
3/1/1971,40,3978.2
4/1/1971,40.1,3986.5
5/1/1971,40.3,4002.6
6/1/1971,40.5,4087.3
7/1/1971,40.6,4029.1
8/1/1971,40.7,4043.3
9/1/1971,40.8,4067.3
10/1/1971,40.9,4080.4
11/1/1971,41,4090
12/1/1971,41.1,4110.9
1/1/1972,41.2,4090.1
2/1/1972,41.4,4115.2
3/1/1972,41.4,4132.3
4/1/1972,41.5,4130.6
5/1/1972,41.6,4160.9
6/1/1972,41.7,4174.2
7/1/1972,41.8,4204.5
8/1/1972,41.9,4243.5
9/1/1972,42.1,4260
10/1/1972,42.2,4366.9
11/1/1972,42.4,4415.4
12/1/1972,42.5,4435.1
1/1/1973,42.7,4411.9
2/1/1973,43,4444.7
3/1/1973,43.4,4461
